TransactionID,Month,Date,ProductCategory,ProductName,UnitsSold,UnitPrice,TotalRevenue,Region,PaymentMethod
10001,Jan,1/1/2024,Electronics,iPhone 14 Pro,2,79999,159998.4,North America,Credit Card
10002,Jan,1/2/2024,Home Appliances,Dyson V11 Vacuum,1,39999,499.99,Europe,PayPal
10003,Jan,1/3/2024,Clothing,Levi's 501 Jeans,3,5599,209.97,Asia,Debit Card
10004,Jan,1/4/2024,Books,The Da Vinci Code,4,1279,63.96,North America,Credit Card
10005,Jan,1/5/2024,Beauty Products,Neutrogena Skincare Set,1,7199,89.99,Europe,PayPal
10006,Jan,1/6/2024,Sports,Wilson Evolution Basketball,5,2399,149.95,Asia,Credit Card
10007,Jan,1/7/2024,Electronics,MacBook Pro 16-inch,1,199999,2499.99,North America,Credit Card
10008,Jan,1/8/2024,Home Appliances,Blueair Classic 480i,2,47999,1199.98,Europe,PayPal
10009,Jan,1/9/2024,Clothing,Nike Air Force 1,6,7199,539.94,Asia,Debit Card
10010,Jan,1/10/2024,Books,Dune by Frank Herbert,2,2079,51.98,North America,Credit Card
10011,Jan,1/11/2024,Beauty Products,Chanel No. 5 Perfume,1,10399,129.99,Europe,PayPal
10012,Jan,1/12/2024,Sports,Babolat Pure Drive Tennis Racket,3,15999,599.97,Asia,Credit Card
10013,Jan,1/13/2024,Electronics,Samsung Galaxy Tab S8,2,59999,1499.98,North America,Credit Card
10014,Jan,1/14/2024,Home Appliances,Keurig K-Elite Coffee Maker,1,15199,189.99,Europe,PayPal
10015,Jan,1/15/2024,Clothing,North Face Down Jacket,2,19999,499.98,Asia,Debit Card
10016,Jan,1/16/2024,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",3,2879,107.97,North America,Credit Card
10017,Jan,1/17/2024,Beauty Products,Dyson Supersonic Hair Dryer,1,31999,399.99,Europe,PayPal
10018,Jan,1/18/2024,Sports,Manduka PRO Yoga Mat,4,9599,479.96,Asia,Credit Card
10019,Jan,1/19/2024,Electronics,Garmin Forerunner 945,2,39999,999.98,North America,Credit Card
10020,Jan,1/20/2024,Home Appliances,Ninja Professional Blender,1,7999,99.99,Europe,PayPal
10021,Jan,1/21/2024,Clothing,Zara Summer Dress,3,4799,179.97,Asia,Debit Card
10022,Jan,1/22/2024,Books,Gone Girl by Gillian Flynn,2,1839,45.98,North America,Credit Card
10023,Jan,1/23/2024,Beauty Products,Olay Regenerist Face Cream,1,3999,49.99,Europe,PayPal
10024,Jan,1/24/2024,Sports,Adidas FIFA World Cup Football,3,2399,89.97,Asia,Credit Card
10025,Jan,1/25/2024,Electronics,Bose QuietComfort 35 Headphones,1,23999,299.99,North America,Credit Card
10026,Jan,1/26/2024,Home Appliances,Panasonic NN-SN966S Microwave,1,14399,179.99,Europe,PayPal
10027,Jan,1/27/2024,Clothing,Adidas Ultraboost Shoes,2,14399,359.98,Asia,Debit Card
10028,Jan,1/28/2024,Books,Pride and Prejudice by Jane Austen,3,1039,38.97,North America,Credit Card
10029,Jan,1/29/2024,Beauty Products,MAC Ruby Woo Lipstick,1,2399,29.99,Europe,PayPal
10030,Jan,1/30/2024,Sports,Nike Air Zoom Pegasus 37,2,10399,259.98,Asia,Credit Card
10031,Jan,1/31/2024,Electronics,Sony WH-1000XM4 Headphones,2,27999,699.98,North America,Credit Card
10032,Feb,2/1/2024,Home Appliances,Instant Pot Duo,3,7199,269.97,Europe,PayPal
10033,Feb,2/2/2024,Clothing,Under Armour HeatGear T-Shirt,5,2399,149.95,Asia,Debit Card
10034,Feb,2/3/2024,Books,1984 by George Orwell,4,1599,79.96,North America,Credit Card
10035,Feb,2/4/2024,Beauty Products,L'Oreal Revitalift Serum,2,3199,79.98,Europe,PayPal
10036,Feb,2/5/2024,Sports,Peloton Bike,1,151600,1895,Asia,Credit Card
10037,Feb,2/6/2024,Electronics,Apple Watch Series 8,3,31999,1199.97,North America,Credit Card
10038,Feb,2/7/2024,Home Appliances,Roomba i7+,2,63999,1599.98,Europe,PayPal
10039,Feb,2/8/2024,Clothing,Columbia Fleece Jacket,4,4799,239.96,Asia,Debit Card
10040,Feb,2/9/2024,Books,Harry Potter and the Sorcerer's Stone,3,1999,74.97,North America,Credit Card
10041,Feb,2/10/2024,Beauty Products,Estee Lauder Advanced Night Repair,1,8400,105,Europe,PayPal
10042,Feb,2/11/2024,Sports,Fitbit Charge 5,2,10399,259.98,Asia,Credit Card
10043,Feb,2/12/2024,Electronics,GoPro HERO10 Black,3,31999,1199.97,North America,Credit Card
10044,Feb,2/13/2024,Home Appliances,Nespresso VertuoPlus,1,15999,199.99,Europe,PayPal
10045,Feb,2/14/2024,Clothing,Patagonia Better Sweater,2,11199,279.98,Asia,Debit Card
10046,Feb,2/15/2024,Books,Becoming by Michelle Obama,4,2600,130,North America,Credit Card
10047,Feb,2/16/2024,Beauty Products,Clinique Moisture Surge,1,4160,52,Europe,PayPal
10048,Feb,2/17/2024,Sports,Yeti Rambler Tumbler,6,3199,239.94,Asia,Credit Card
10049,Feb,2/18/2024,Electronics,Kindle Paperwhite,2,10399,259.98,North America,Credit Card
10050,Feb,2/19/2024,Home Appliances,Breville Smart Oven,1,23999,299.99,Europe,PayPal
10051,Feb,2/20/2024,Clothing,Ray-Ban Aviator Sunglasses,3,12399,464.97,Asia,Debit Card
10052,Feb,2/21/2024,Books,The Silent Patient by Alex Michaelides,2,2159,53.98,North America,Credit Card
10053,Feb,2/22/2024,Beauty Products,Shiseido Ultimate Sun Protector,1,3920,49,Europe,PayPal
10054,Feb,2/23/2024,Sports,Titleist Pro V1 Golf Balls,5,3999,249.95,Asia,Credit Card
10055,Feb,2/24/2024,Electronics,Anker PowerCore Portable Charger,4,4799,239.96,North America,Credit Card
10056,Feb,2/25/2024,Home Appliances,KitchenAid Artisan Stand Mixer,1,39999,499.99,Europe,PayPal
10057,Feb,2/26/2024,Clothing,Calvin Klein Boxer Briefs,5,2399,149.95,Asia,Debit Card
10058,Feb,2/27/2024,Books,Educated by Tara Westover,3,2240,84,North America,Credit Card
10059,Feb,2/28/2024,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,1840,46,Europe,PayPal
10060,Feb,2/29/2024,Sports,Hyperice Hypervolt Massager,1,27920,349,Asia,Credit Card
10061,Mar,3/1/2024,Electronics,Nintendo Switch,3,23999,899.97,North America,Credit Card
10062,Mar,3/2/2024,Home Appliances,Philips Airfryer XXL,2,15999,399.98,Europe,PayPal
10063,Mar,3/3/2024,Clothing,Hanes ComfortSoft T-Shirt,10,799,99.9,Asia,Debit Card
10064,Mar,3/4/2024,Books,Where the Crawdads Sing by Delia Owens,4,1519,75.96,North America,Credit Card
10065,Mar,3/5/2024,Beauty Products,Lancome La Vie Est Belle,1,8160,102,Europe,PayPal
10066,Mar,3/6/2024,Sports,Garmin Edge 530,2,23999,599.98,Asia,Credit Card
10067,Mar,3/7/2024,Electronics,Samsung QLED 4K TV,1,95999,1199.99,North America,Credit Card
10068,Mar,3/8/2024,Home Appliances,Eufy RoboVac 11S,3,17599,659.97,Europe,PayPal
10069,Mar,3/9/2024,Clothing,Puma Suede Classic Sneakers,4,4799,239.96,Asia,Debit Card
10070,Mar,3/10/2024,Books,The Great Gatsby by F. Scott Fitzgerald,2,879,21.98,North America,Credit Card
10071,Mar,3/11/2024,Beauty Products,Drunk Elephant C-Firma Day Serum,1,6240,78,Europe,PayPal
10072,Mar,3/12/2024,Sports,Nike Metcon 6,3,10399,389.97,Asia,Credit Card
10073,Mar,3/13/2024,Electronics,HP Spectre x360 Laptop,1,127999,1599.99,North America,Credit Card
10074,Mar,3/14/2024,Home Appliances,De'Longhi Magnifica Espresso Machine,1,71999,899.99,Europe,PayPal
10075,Mar,3/15/2024,Clothing,Tommy Hilfiger Polo Shirt,5,3999,249.95,Asia,Debit Card
10076,Mar,3/16/2024,Books,To Kill a Mockingbird by Harper Lee,4,1199,59.96,North America,Credit Card
10077,Mar,3/17/2024,Beauty Products,Glossier Boy Brow,2,1280,32,Europe,PayPal
10078,Mar,3/18/2024,Sports,Rogue Fitness Kettlebell,3,5599,209.97,Asia,Credit Card
10079,Mar,3/19/2024,Electronics,Apple AirPods Pro,2,19999,499.98,North America,Credit Card
10080,Mar,3/20/2024,Home Appliances,Dyson Pure Cool Link,1,39999,499.99,Europe,PayPal
10081,Mar,3/21/2024,Clothing,Levi's Trucker Jacket,2,7199,179.98,Asia,Debit Card
10082,Mar,3/22/2024,Books,The Hobbit by J.R.R. Tolkien,3,1039,38.97,North America,Credit Card
10083,Mar,3/23/2024,Beauty Products,Charlotte Tilbury Magic Cream,1,8000,100,Europe,PayPal
10084,Mar,3/24/2024,Sports,Spalding NBA Street Basketball,6,1999,149.94,Asia,Credit Card
10085,Mar,3/25/2024,Electronics,Ring Video Doorbell,1,7999,99.99,North America,Credit Card
10086,Mar,3/26/2024,Home Appliances,LG OLED TV,2,103999,2599.98,Europe,PayPal
10087,Mar,3/27/2024,Clothing,Uniqlo Ultra Light Down Jacket,3,6399,239.97,Asia,Debit Card
10088,Mar,3/28/2024,Books,The Catcher in the Rye by J.D. Salinger,4,1119,55.96,North America,Credit Card
10089,Mar,3/29/2024,Beauty Products,Sunday Riley Good Genes,1,8400,105,Europe,PayPal
10090,Mar,3/30/2024,Sports,On Running Cloud Shoes,2,10399,259.98,Asia,Credit Card
10091,Mar,3/31/2024,Electronics,Logitech MX Master 3 Mouse,2,7999,199.98,North America,Credit Card
10092,Apr,4/1/2024,Home Appliances,Instant Pot Duo Crisp,1,14399,179.99,Europe,PayPal
10093,Apr,4/2/2024,Clothing,Adidas Originals Superstar Sneakers,4,6399,319.96,Asia,Debit Card
10094,Apr,4/3/2024,Books,The Alchemist by Paulo Coelho,3,1199,44.97,North America,Credit Card
10095,Apr,4/4/2024,Beauty Products,Tatcha The Water Cream,1,5440,68,Europe,PayPal
10096,Apr,4/5/2024,Sports,Garmin Fenix 6X Pro,1,79999,999.99,Asia,Credit Card
10097,Apr,4/6/2024,Electronics,Bose SoundLink Revolve+ Speaker,3,23999,899.97,North America,Credit Card
10098,Apr,4/7/2024,Home Appliances,Vitamix Explorian Blender,1,27999,349.99,Europe,PayPal
10099,Apr,4/8/2024,Clothing,Gap Essential Crewneck T-Shirt,6,1599,119.94,Asia,Debit Card
10100,Apr,4/9/2024,Books,The Power of Now by Eckhart Tolle,2,1039,25.98,North America,Credit Card
10101,Apr,4/10/2024,Beauty Products,Kiehl's Midnight Recovery Concentrate,1,6560,82,Europe,PayPal
10102,Apr,4/11/2024,Sports,Under Armour HOVR Sonic 4 Shoes,2,8799,219.98,Asia,Credit Card
10103,Apr,4/12/2024,Electronics,Canon EOS R5 Camera,1,311999,3899.99,North America,Credit Card
10104,Apr,4/13/2024,Home Appliances,Shark IQ Robot Vacuum,2,27999,699.98,Europe,PayPal
10105,Apr,4/14/2024,Clothing,H&M Slim Fit Jeans,3,3199,119.97,Asia,Debit Card
10106,Apr,4/15/2024,Books,The Girl on the Train by Paula Hawkins,4,879,43.96,North America,Credit Card
10107,Apr,4/16/2024,Beauty Products,The Ordinary Niacinamide Serum,1,520,6.5,Europe,PayPal
10108,Apr,4/17/2024,Sports,Bowflex SelectTech 552 Dumbbells,1,31999,399.99,Asia,Credit Card
10109,Apr,4/18/2024,Electronics,Google Nest Hub Max,2,18399,459.98,North America,Credit Card
10110,Apr,4/19/2024,Home Appliances,Cuisinart Griddler Deluxe,1,12799,159.99,Europe,PayPal
10111,Apr,4/20/2024,Clothing,Old Navy Relaxed-Fit T-Shirt,4,1199,59.96,Asia,Debit Card
10112,Apr,4/21/2024,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2,1519,37.98,North America,Credit Card
10113,Apr,4/22/2024,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1,1200,15,Europe,PayPal
10114,Apr,4/23/2024,Sports,Fitbit Versa 3,3,18396,689.85,Asia,Credit Card
10115,Apr,4/24/2024,Electronics,Amazon Echo Show 10,1,19999,249.99,North America,Credit Card
10116,Apr,4/25/2024,Home Appliances,Breville Smart Grill,2,23996,599.9,Europe,PayPal
10117,Apr,4/26/2024,Clothing,Gap High Rise Skinny Jeans,3,3999,149.97,Asia,Debit Card
10118,Apr,4/27/2024,Books,Atomic Habits by James Clear,4,1359,67.96,North America,Credit Card
10119,Apr,4/28/2024,Beauty Products,CeraVe Hydrating Facial Cleanser,2,1199,29.98,Europe,PayPal
10120,Apr,4/29/2024,Sports,YETI Hopper Flip Portable Cooler,1,19999,249.99,Asia,Credit Card
10121,Apr,4/30/2024,Electronics,Apple iPad Air,2,47999,1199.98,North America,Credit Card
10122,May,5/1/2024,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1,7199,89.99,Europe,PayPal
